"special_issue","num_papers","flags","prop_flag","deadline","latest_sub","rt_sum_vector2","aca_flag","d_over_deadline","ed","fecha_deadline"
"https://www.mdpi.com/journal/ijerph/special_issues/HIV_substance_use_addiction",13,2,0.154,2022-05-31,2022-10-21,"0,1,1","3",-143,"Sten H. Vermund, Jeffrey A. Wickersham, Lauretta E. Grau","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/workforce_global_transformations",10,4,0.4,2022-05-31,2022-07-31,"4,0,3,1","No info",-61,"Florian Fischer, Laura Arnold, Franziska Hommes, Kerstin Sell","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/movement_disorders_falls",13,3,0.231,2022-05-31,2022-05-31,"3","8",0,"Eva Ekvall Hansson","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/inequity_cancer_vulnerability",11,3,0.273,2022-05-31,2022-04-08,"2,1,0","7",53,"Pamela Valera, Adana A.M. Llanos, Luis Alzate-Duque","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/biomechanics_aquatic_activities",11,3,0.273,2022-05-31,2022-05-30,"0,2,2,0","No info",1,"Dr. Antonio Jose Silva, Dr. Daniel Marinho, Tiago M. Barbosa, Henrique Pereira Neiva","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/traffic_psychology",10,2,0.2,2022-05-31,2022-04-10,"1,0,0,0,1","No info",51,"Oscar Oviedo-Trespalacios, Yuting Zhang, Mark Johann King, Xiaomeng Li, Tyron Louw","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Human_Biomonitoring_2",11,2,0.182,2022-05-31,2022-08-22,"2","7",-83,"Giovanna Tranfo","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/FPOCS",7,0,0,2022-05-31,2022-06-03,"0,0,0","No info",-3,"Maria-del-Mar Alonso-Almeida, Carlo Giglio, Yi Liu","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/health_african_migrants",11,4,0.364,2022-05-31,2022-05-31,"3,1","4",0,"Yvonne Commodore-Mensah, Dr. Charles Agyemang","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/JobInsecurity_PrecariousEmployment",10,2,0.2,2022-05-31,2022-09-05,"2,2,2","5",-97,"Antonio Chirumbolo, Antonino Callea, Flavio Urbini","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/environmental_physiology",10,0,0,2022-05-31,2022-05-11,"0,0","8",20,"Song-Young Park, Elizabeth Pekas","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/social_alcohol_use_consequences",8,1,0.125,2022-05-31,2022-05-31,"1,1","5",0,"Charlotte Probst, Shannon Lange","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/cerebrovascular_diseases",10,2,0.2,2022-05-31,2022-05-30,"2,1,1,1","8",1,"Claudia Altamura, Riccardo Altavilla, Paola Maggio, Paola Palazzo","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/environmental_microbiology",10,1,0.1,2022-05-31,2022-05-30,"1,0,0","No info",1,"Giovanni Bacci, Matteo Ramazzotti, Niccolò Meriggi","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/environment_lung_health",9,2,0.222,2022-05-31,2022-05-27,"2,1,0","No info",4,"Dr. Shyamali Dharmage, Dinh Bui, Gayan Bowatte","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/anthropometry_sport",10,2,0.2,2022-05-31,2022-07-30,"1,1,1","5",-60,"Dr. Jose Ramon Alvero Cruz, Dr. Fernando Alacid, Lorena Correas Gomez","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/physiotherapy_health",8,3,0.375,2022-05-31,2022-05-31,"3,2,3","2",0,"Dr. Maria Torres Lacomba, Beatriz Navarro Brazalez, Virginia Prieto Gomez","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/information_vulnerable",7,1,0.143,2022-05-31,2022-05-31,"1,1","1",0,"Gisela Redondo-Sama, Ariadna Munte-Pascual","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/new_advance_cardiovascular_care",10,2,0.2,2022-05-31,2022-05-28,"2","3",3,"Dr. Izabella Uchmanowicz","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/optimizing_nutrition_dietary_pattern_premature_infants",5,2,0.4,2022-05-31,2022-03-28,"2,1,0","No info",64,"Luis Pereira-da-Silva, Gustavo Rocha, Susana Pissarra","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Obesity_Diabetes_Chronic_Kidney_Disease",7,2,0.286,2022-05-31,2022-05-24,"0,2","No info",7,"Grzegorz Wystrychowski, Marta Wrobel","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/AI_big_data_revolution_healthcare",6,2,0.333,2022-05-31,2022-04-07,"1,2,0","3",54,"Maqbool Hussain, Muhammad Afzal, Wajahat Ali Khan","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/FRH",6,1,0.167,2022-05-31,2021-06-30,"0,1,1","3",335,"Maria Luisa Sanchez Ferrer, Ines Moran Sanchez, Julian J. Arense Gonzalo","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/innovations_healthy_aging",6,1,0.167,2022-05-31,2022-05-03,"1,0","5",28,"Bianca Acevedo, Helena M. Blumen","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Aging_Perspective_Challenges",7,1,0.143,2022-05-31,2022-04-04,"1","1",57,"Marta Almada","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/sports_injury",5,1,0.2,2022-05-31,2022-03-09,"1","2",83,"Dr. Sae Yong Lee","31 May 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/chronic_conditions",9,0,0,2022-06-01,2022-12-15,"0,0","2",-197,"Rohini Mathur, Sarah Cook","1 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Learning_in_Childhood",7,3,0.429,2022-06-01,2022-06-02,"3,1,1","3",-1,"Dr. Yaoying Xu, Dr. Kathleen Moritz Rudasill, Chin-Chih Chen","1 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/substance_use_adolescent",7,2,0.286,2022-06-01,2022-05-23,"0,0,2","4",9,"Dr. Ingeborg Margrete Rossow, Elin Kristin Bye, Inger Synnøve Moan","1 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/New_Family_Forms_Wellbeing",13,2,0.154,2022-06-14,2022-08-11,"2,0","8",-58,"Dr. Dorit Segal-Engelchin, Dr. Orit Taubman-Ben-Ari","14 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/MMHP",16,4,0.25,2022-06-15,2022-06-15,"2,0,2","9",0,"Giulia Lamiani, Lidia Borghi, Marina Maffoni","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Healthy_Working_Life_Ages",13,7,0.538,2022-06-15,2022-09-30,"6,1,0,0,0","5",-107,"Dr. Kerstin Nilsson, Dr. Clas-Håkan Nygård, Tove Midtsundstad, Dr. Peter Lundqvist, Dr. Joanne Crawford","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Anxieties_Computer-Mediated_Cultures",6,0,0,2022-06-15,2022-04-03,"0","6",73,"Dr. Jimmie Manning","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/substance_use_sexual_health",10,2,0.2,2022-06-15,2022-08-06,"1,2","5",-52,"Heather Armstrong, Kiffer Card","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/exercise_training_patients_rehabilitation",6,3,0.5,2022-06-15,2021-11-26,"3","3",201,"Stig Molsted","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Predictive_Models",7,1,0.143,2022-06-15,2022-05-29,"1","No info",17,"Dr. Antonio Palazon-Bru","15 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Tobacco_Product",33,4,0.121,2022-06-30,2022-08-10,"4,4","No info",-41,"Dr. E. Melinda Mahabee-Gittens, Ashley L. Merianos","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Frontiers_Healthy_Cities",37,3,0.081,2022-06-30,2022-06-30,"1,1,1","28",0,"Dr. Jie Chen, Qian Zhou, Ting Zhang","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Instruments_Measuring_Health",29,3,0.103,2022-06-30,2022-07-19,"2,2","No info",-19,"Desiree Valera-Gran, Eva Maria Navarrete-Munoz","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Body_Composition_in_Sports",13,4,0.308,2022-06-30,2022-05-11,"4,0,0","No info",50,"Dr. Marcos Maynar Marino, Diego Munoz Marin, Dr. Armando de Mendoca Raimundo","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/COVID-19-North-America",7,3,0.429,2022-06-30,2022-07-25,"3,0,0,0","No info",-25,"Dr. Amal K. Mitra, Dr. Dawn Bishop McLin, Dr. Abdullah Baqui, Sarah Buxbaum","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/URPH",11,4,0.364,2022-06-30,2022-10-13,"3,2,2,2","No info",-105,"Dr. Teodoro Georgiadis, Letizia Cremonini, Paolo Pandolfi, Vincenza Perlangeli","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Artisanal_Gold_Mining_Environmental_Health_Problems",20,15,0.75,2022-06-30,2022-09-21,"13,3,2","5",-83,"Masayuki Sakakibara, Win Thiri Kyaw, Jose Luis Rivera Parra","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Health_Humanity",10,2,0.2,2022-06-30,2022-04-13,"2","No info",78,"Dr. Adams Bodomo","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/stigma_2",13,2,0.154,2022-06-30,2022-06-30,"2,1","8",0,"Chung-Ying Lin, Dr. Hector Tsang","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/tick_vectored_diseases",10,1,0.1,2022-06-30,2022-05-11,"1,0","No info",50,"Dr. Vett Lloyd, Natasha Rudenko","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/agricultural_exposure",15,1,0.067,2022-06-30,2022-05-18,"1","11",43,"Claudio Colosio","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Decision_Making_Public_Health",16,0,0,2022-06-30,2022-08-18,"0,0,0,0","3",-49,"Aoife DeBrun, Edel Doherty, Emma Nicholson, Deirdre O'Donnell","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Disasters_their_Consequences_Public_Health",13,3,0.231,2022-06-30,2022-06-25,"3","No info",5,"Kimberley Shoaf","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/SustainabilityResilience_Health",8,2,0.25,2022-06-30,2022-06-30,"2,0,1,0","No info",0,"Milena Vainieri, Laura Rosella, Guido Noto, Francesca Ferre","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Suicide_Research",15,0,0,2022-06-30,2022-11-07,"0","No info",-130,"Dr. Marios Adamou","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/EL_2",5,1,0.2,2022-06-30,2022-03-30,"0,1","No info",92,"Dr. Mariusz Duplaga, Dr. Tetine Sentell","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/STPDA",14,1,0.071,2022-06-30,2022-08-01,"1","8",-32,"Francesca Agostini","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Cyberbullying_Adolescents",11,3,0.273,2022-06-30,2022-06-30,"2,1,0","No info",0,"Claudio Longobardi, Tomas Jungert, Laura Badenes-Ribera","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Disasters_Preparedness_Emergency_Response_Prevention_Surveillance_Planning",11,2,0.182,2022-06-30,2022-06-14,"2","No info",16,"Dr. Mariusz Goniewicz","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Fitness_Health",10,0,0,2022-06-30,2022-07-21,"0","No info",-21,"Dr. Ana De Fatima Pereira","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/disability_develop",13,4,0.308,2022-06-30,2022-07-26,"2,2","6",-26,"Manjula Marella, Islay Mactaggart","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/behavior_change",10,3,0.3,2022-06-30,2022-11-17,"0,3","3",-140,"Taylor J. Willmott, Dr. Sameer Deshpande","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Frontiers_Workplace_Health_Management",13,4,0.308,2022-06-30,2022-05-30,"4,1","7",31,"Dr. Monika A. Rieger, Martina Michaelis","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/health_inequities",10,1,0.1,2022-06-30,2022-06-30,"1,0,0","No info",0,"Alison K. Cohen, Stephanie R. Carroll, Catherine dP. Duarte","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Health_Related_Physical_Activity",11,0,0,2022-06-30,2022-06-29,"0,0,0","7",1,"Ben D. Kern, Dr. Lawrence W. Judge, David M. Bellar","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Exercise_Health_Disease_Management",10,1,0.1,2022-06-30,2022-06-10,"1,0,1","No info",20,"Dr. Hugo Olmedillas, Miguel Enrique del Valle Soto, Nicolas Terrados","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Environmental_Health_Literacy",10,2,0.2,2022-06-30,2022-02-08,"2,0,0,0","5",142,"Rima E. Rudd, Cynthia Baur, Kathryn Tomsho, Vanessa Simonds","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Occupational_and_General_Public_Exposure_to_Electromagnetic_Fields",13,2,0.154,2022-06-30,2022-05-03,"2,1","10",58,"Valentina Hartwig, Giuseppe Acri","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Modeling_Tools_Occupational_Exposure_Assessment",12,3,0.25,2022-06-30,2022-08-19,"0,3,3","No info",-50,"Dr. Domenico M. Cavallo, Andrea Spinazzè, Francesca Borghi","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Phys_Fitness_Aged",10,0,0,2022-06-30,2022-08-13,"0","No info",-44,"Dr. Jose Ma Cancela Carral","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/HIV_Prevalence",10,0,0,2022-06-30,2022-06-19,"0","5",11,"Erin C. Wilson","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/work_health_equity",12,3,0.25,2022-06-30,2022-09-16,"2,1,1","7",-78,"Emily Q. Ahonen, Megan Winkler, Anjum Hajat","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/rehabilitation_programs",10,1,0.1,2022-06-30,2022-06-28,"1,0","3",2,"Dr. Christoph Gutenbrunner, Boya Nugraha","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/patient_safety_intensive_care_units",8,4,0.5,2022-06-30,2022-07-05,"4","3",-5,"Dr. Wioletta Mędrzycka-Dąbrowska","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Oral_DiseasePrevention",9,0,0,2022-06-30,2022-05-07,"0","7",54,"Chethan Sampath","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Working_Life",10,4,0.4,2022-06-30,2022-06-30,"4","No info",0,"Dr. Lars L. Andersen","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/_fruit_vegetable",8,1,0.125,2022-06-30,2022-06-30,"1,1","6",0,"Chelsea R. Singleton, Bailey Houghtaling","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Health_Services",8,1,0.125,2022-06-30,2022-06-30,"1","4",0,"Stefanie Maria Helmer","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Circul_Health",6,1,0.167,2022-06-30,2022-08-10,"0,1,0","No info",-41,"Abbas Mardani, Abdoulmohammad Gholamzadeh Chofreh, Syed Abdul Rehman Khan","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/soil_pollution_re",10,2,0.2,2022-06-30,2022-06-05,"0,0,0,2","8",25,"Dr. Fayuan Wang, Dr. Liping Li, Lanfang Han, Aiju Liu","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Cyberbullying_sensors",6,1,0.167,2022-06-30,2022-12-13,"0,1,1","3",-166,"Dr. Peter Smith, Jorge Varela, Christopher Barlett","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Multiple_Exposure_Occup",8,2,0.25,2022-06-30,2022-06-28,"1,1","No info",2,"Frederic Clerc, Thais C. Morata","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/occupational_infectious",9,3,0.333,2022-06-30,2022-02-04,"1,1,1,3","6",146,"Antoon De Schryver, Koen De Schrijver, Guido François, Helena C. Maltezou","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/tabacco_science",10,1,0.1,2022-06-30,2022-08-27,"1,1","4",-58,"Elizabeth G. Klein, Amanda J. Quisenberry","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/Occupational_and_Recreational_Hearing_Loss",7,1,0.143,2022-06-30,2021-11-29,"1,0,0","5",213,"Dr. Astrid van Wieringen, Dr. Jan Wouters, Jan A. P. M. de Laat","30 June 2022"
"https://www.mdpi.com/journal/ijerph/special_issues/health_children_netherlands",9,3,0.333,2022-06-30,2022-07-14,"3","2",-14,"Danielle Jansen","30 June 2022"
